"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 04 13:23:12 UTC 2025","Tue Nov 04 13:23:12 UTC 2025","830","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail(Quest)",""
"passed","Tue Nov 04 13:23:08 UTC 2025","Tue Nov 04 13:23:13 UTC 2025","4374","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","testUserLifecycleWithPreQuest","testUserLifecycleWithPreQuest(Quest)",""
"passed","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","489","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testCustomService","testCustomService(Quest, LoginUser)",""
"passed","Tue Nov 04 13:23:03 UTC 2025","Tue Nov 04 13:23:03 UTC 2025","505","","io.cyborgcode.api.test.framework.CreateTwoUsersEvolutionTest","","io.cyborgcode.api.test.framework.CreateTwoUsersEvolutionTest","testCreateTwoUsersImproved","testCreateTwoUsersImproved(Quest, User, Late)",""
"passed","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","424","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testLoginUserAndAddHeader","testLoginUserAndAddHeader(Quest, LoginUser)",""
"passed","Tue Nov 04 13:23:08 UTC 2025","Tue Nov 04 13:23:13 UTC 2025","4283","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","testUserLifecycleWithAuth","testUserLifecycleWithAuth(Quest)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:14 UTC 2025","1028","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","testUserLifecycleBasic","testUserLifecycleBasic(Quest)",""
"broken","Tue Nov 04 13:23:15 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","278","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testCreateJuniorUser","testCreateJuniorUser(Quest, Late)",""
"passed","Tue Nov 04 13:23:02 UTC 2025","Tue Nov 04 13:23:03 UTC 2025","431","","io.cyborgcode.api.test.framework.CreateTwoUsersEvolutionTest","","io.cyborgcode.api.test.framework.CreateTwoUsersEvolutionTest","testCreateTwoUsersBasic","testCreateTwoUsersBasic(Quest)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","1392","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testCreateTwoUsers","testCreateTwoUsers(Quest, User, Late)",""
"passed","Tue Nov 04 13:22:59 UTC 2025","Tue Nov 04 13:23:02 UTC 2025","3062","","io.cyborgcode.api.test.framework.CreateTwoUsersEvolutionTest","","io.cyborgcode.api.test.framework.CreateTwoUsersEvolutionTest","testCreateTwoUsersImprovedWithCustomService","testCreateTwoUsersImprovedWithCustomService(Quest, User, Late)",""
"passed","Tue Nov 04 13:23:08 UTC 2025","Tue Nov 04 13:23:13 UTC 2025","4281","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","testUserLifecycleWithCustomService","testUserLifecycleWithCustomService(Quest)",""
"broken","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:17 UTC 2025","2754","","io.cyborgcode.api.test.framework.CreateUserEvolutionTest","","io.cyborgcode.api.test.framework.CreateUserEvolutionTest","testCreateJuniorUserBasic","testCreateJuniorUserBasic(Quest)",""
"broken","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:16 UTC 2025","1293","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testFullUserLifecycleAndCrossValidation","testFullUserLifecycleAndCrossValidation(Quest, User, Late)",""
"broken","Tue Nov 04 13:23:11 UTC 2025","Tue Nov 04 13:23:12 UTC 2025","1033","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testCreateAndDeleteLeaderUser","testCreateAndDeleteLeaderUser(Quest, User)",""
"broken","Tue Nov 04 13:23:10 UTC 2025","Tue Nov 04 13:23:11 UTC 2025","1101","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testUserLifecycle","testUserLifecycle(Quest)",""
"passed","Tue Nov 04 13:23:10 UTC 2025","Tue Nov 04 13:23:13 UTC 2025","2876","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testUserNotFound","testUserNotFound(Quest)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:14 UTC 2025","1760","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testGetNonExistentUserReturns404AndEmptyBody","testGetNonExistentUserReturns404AndEmptyBody(Quest)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:16 UTC 2025","2989","","io.cyborgcode.api.test.framework.RoAGeneratedTest","","io.cyborgcode.api.test.framework.RoAGeneratedTest","shouldReturnUserThreeWithCorrectFieldsAndSupportInfo","shouldReturnUserThreeWithCorrectFieldsAndSupportInfo(Quest)",""
"broken","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:17 UTC 2025","2815","","io.cyborgcode.api.test.framework.CreateUserEvolutionTest","","io.cyborgcode.api.test.framework.CreateUserEvolutionTest","testCreateJuniorUserImprovedWithCustomService","testCreateJuniorUserImprovedWithCustomService(Quest, Late)",""
"passed","Tue Nov 04 13:23:11 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","3340","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testGetUserByIdValidAndInvalid","testGetUserByIdValidAndInvalid(Quest)",""
"broken","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:14 UTC 2025","997","","io.cyborgcode.api.test.framework.RoAGeneratedTest","","io.cyborgcode.api.test.framework.RoAGeneratedTest","shouldCreateIntermediateUserWithCorrectDetails","shouldCreateIntermediateUserWithCorrectDetails(Quest)",""
"passed","Tue Nov 04 13:23:12 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","3236","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","testLoginMissingPassword","testLoginMissingPassword(Quest)",""
"broken","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:14 UTC 2025","237","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testGetUserFromListOfUsersByName","testGetUserFromListOfUsersByName(Quest)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","2432","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testGetAllUsersPage1AndPage2","testGetAllUsersPage1AndPage2(Quest)",""
"passed","Tue Nov 04 13:23:11 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","3267","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testCreateUserWithValidPayload","testCreateUserWithValidPayload(Quest, User)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:14 UTC 2025","1121","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testValidateAllUsers","testValidateAllUsers(Quest, LoginUser)",""
"broken","Tue Nov 04 13:23:10 UTC 2025","Tue Nov 04 13:23:13 UTC 2025","3006","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testGetUsersJUnitAssertions","testGetUsersJUnitAssertions(Quest)",""
"broken","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:17 UTC 2025","2833","","io.cyborgcode.api.test.framework.CreateUserEvolutionTest","","io.cyborgcode.api.test.framework.CreateUserEvolutionTest","testCreateJuniorUserImproved","testCreateJuniorUserImproved(Quest, Late)",""
"passed","Tue Nov 04 13:23:12 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","3242","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","testSuccessfulLogin","testSuccessfulLogin(Quest)",""
"broken","Tue Nov 04 13:23:11 UTC 2025","Tue Nov 04 13:23:13 UTC 2025","1786","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testGetUserFromListOfUsers","testGetUserFromListOfUsers(Quest)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:14 UTC 2025","1034","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testGetUser","testGetUser(Quest)",""
"passed","Tue Nov 04 13:23:10 UTC 2025","Tue Nov 04 13:23:14 UTC 2025","3924","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testGetAllUsers","testGetAllUsers(Quest)",""
"passed","Tue Nov 04 13:23:08 UTC 2025","Tue Nov 04 13:23:13 UTC 2025","4280","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","","io.cyborgcode.api.test.framework.UserLifecycleEvolutionTest","testUserLifecycleWithRipper","testUserLifecycleWithRipper(Quest)",""
"passed","Tue Nov 04 13:23:13 UTC 2025","Tue Nov 04 13:23:17 UTC 2025","3810","","io.cyborgcode.api.test.framework.RoAGeneratedTest","","io.cyborgcode.api.test.framework.RoAGeneratedTest","shouldCreateAndDeleteLeaderUserSuccessfully","shouldCreateAndDeleteLeaderUserSuccessfully(Quest, Late)",""
"broken","Tue Nov 04 13:23:11 UTC 2025","Tue Nov 04 13:23:12 UTC 2025","987","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","","io.cyborgcode.api.test.framework.ReqresApiAIGeneratedTest","testLoginUserWithValidCredentials","testLoginUserWithValidCredentials(Quest, LoginUser)",""
"passed","Tue Nov 04 13:23:12 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","3240","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","","io.cyborgcode.api.test.framework.LoginFunctionalityAIGeneratedTest","testLoginMissingEmail","testLoginMissingEmail(Quest)",""
"passed","Tue Nov 04 13:23:14 UTC 2025","Tue Nov 04 13:23:15 UTC 2025","327","","io.cyborgcode.api.test.framework.ReqresApiTest","","io.cyborgcode.api.test.framework.ReqresApiTest","testCreateUser","testCreateUser(Quest, User)",""
